# Auto-generated from IoTecha error registry (363 patterns)
# pattern	module	severity	description	troubleshootingSteps	onSiteServiceRequired
ErrorLockingFailed	PowerBoardHAL	LOW	Lock action doesn't take effect	1. Check lock is not blocked by some object | 2. Check/fix/replace lock | 3. Power Cycle Charging Station | 4. Replace Power Board	yes
ErrorReactiveCurrentDetected	PowerBoardHAL	LOW	EV41: Reactive current was detected, increasing minimum limit	1. Restart charging session | 2. Use another EV/consumer	no
ErrorReactiveCurrentOverrideSWLimit	PowerBoardHAL	LOW	EV41: Overriding Effective Limits	1. Restart charging session | 2. Use another EV/consumer	no
ErrorReactiveCurrentOverrideForbidden	PowerBoardHAL	MEDIUM	Session stop because of reactive current level	1. Restart charging session | 2. Use another EV	no
ErrorM2LowCurrent	HWSpecificHALZr	CRITICAL	Low current on M2 connector	1. Restart charging session | 2. Use another EV/connect another consumer | 3. Verify M2LowCurrentThreshold_mA value in ihal/ihal.properties config	no
InvalidCode	HWPowerBoardStopCode	MEDIUM	Unknown	1. Power Cycle Charging Station | 2. Replace Power Board	yes
BENDER_ERROR	HWPowerBoardStopCode	CRITICAL	An internal fault of the IMD unit happened outside 1s after closing relaysr	1. Restart charging session | 2. Use another EV/consumer | 3. Power Cycle Charging Station | 4. Check Bender unit connection to Power Board | 5. Replace Bender unit | 6. Replace Power Board	yes
BENDER_FAULT_1	HWPowerBoardStopCode	CRITICAL	A fault (leakage indicated by output #1 of IMD module) was detected by the IMD unit outside 1s after closing relays	1. Power Cycle Charging Station | 2. Use another EV/consumer | 3. Check Bender unit connection to Power Board | 4. Replace Bender unit | 5. Replace Power Board	yes
BENDER_FAULT_2	HWPowerBoardStopCode	CRITICAL	A fault (leakage indicated by output #2 of IMD module) was detected by the IMD unit outside 1s after closing relays	1. Power Cycle Charging Station | 2. Use another EV/consumer | 3. Check Bender unit connection to Power Board | 4. Replace Bender unit | 5. Replace Power Board	yes
OVERTEMPERATURE_1	HWPowerBoardStopCode	CRITICAL	Overtemperature 1	1. Check/fix the cooling system | 2. Replace Power Board	yes
OVERTEMPERATURE_2	HWPowerBoardStopCode	CRITICAL	Overtemperature 2	1. Check/fix the cooling system | 2. Replace Power Board	yes
HARD_OVERCURRENT	HWPowerBoardStopCode	CRITICAL	Hard overcurrent	1. Power Cycle charging station | 2. Use another EV/connect another consumer | 3. Check for short-circuits | 4. Replace Power Board	yes
OVERVOLTAGE	HWPowerBoardStopCode	CRITICAL	Overvoltage	1. Check/fix grid voltage | 2. Verify correct Power Board version is installed (US vs EU variant) | 3. Power Cycle Charging station | 4. Replace Power Board	yes
UNDERVOLTAGE	HWPowerBoardStopCode	CRITICAL	Undervoltage	1. Check/fix grid voltage | 2. Verify correct PB version is installed (US vs EU variant) | 3. Power Cycle Charging station | 4. Replace PB	yes
HIGH_FREQUENCY	HWPowerBoardStopCode	CRITICAL	High frequency	1. Check/fix grid frequency | 2. Verify correct Power Board version is installed (US vs EU variant) | 3. Power Cycle Charging station | 4. Replace Power Board	yes
LOW_FREQUENCY	HWPowerBoardStopCode	CRITICAL	Low frequency	1. Check/fix grid frequency | 2. Verify correct PB version is installed (US vs EU variant) | 3. Power Cycle Charging station | 4. Replace Power Board	yes
GROUND_FAULT	HWPowerBoardStopCode	CRITICAL	Ground fault	1. Check/restore earth connection | 2. Power Cycle Charging station | 3. Replace Power Board	yes
CT_RCM_FAULT	HWPowerBoardStopCode	CRITICAL	CT RCM fault	1. Power Cycle Charging station | 2. Replace Power Board	yes
PROXIMITY	HWPowerBoardStopCode	CRITICAL	Proximity changed during charging process	1. Check/replace charging cable | 2. Power Cycle Charging station | 3. Replace Power Board	yes
PHASE_2_AND_3_MISSING	HWPowerBoardStopCode	CRITICAL	Phase 2 and 3 missing	1. Verify 3 phase station is not connected to 1 phase grid | 2. Check/fix grid state and connection  | 3. Power Cycle Charging station | 4. Replace Power Board	yes
PHASE_SEQUENCE_ERROR	HWPowerBoardStopCode	CRITICAL	Phase sequence error	1. Check/fix phases connection: make sure it follows grid layout | 2. Power Cycle Charging station | 3. Replace Power Board	yes
CONTACTORS_WELDED	HWPowerBoardStopCode	CRITICAL	Contactors welded	1. Validate relays integrity | 2. Power Cycle Charging station | 3. Replace Power Board	yes
CODE_INTEGRITY_FAULT	HWPowerBoardStopCode	CRITICAL	Code integrity fault	1. Power Cycle Charging station | 2. Reflash Power Board firmware | 3. Replace Power Board	yes
METER_FAULT	HWPowerBoardStopCode	CRITICAL	Meter fault	1. Power Cycle Charging station | 2. Replace Power Board	yes
IMMEDIATE_BENDER_ERROR	HWPowerBoardStopCode	CRITICAL	An internal fault of the IMD unit happened within 1s after closing relays	1. Restart charging session | 2. Use another EV/consumer | 3. Power Cycle Charging Station | 4. Check Bender unit connection to Power Board | 5. Replace Bender unit | 6. Replace Power Board	yes
